diputado,url,foto
"ABDALA DE MATARAZZO, NORMA AMANDA",http://www.diputados.gob.ar/diputados/nabdaladem/,http://www4.hcdn.gob.ar/fotos/nabdaladem_medium.jpg
"AGUAD, OSCAR RAUL",http://www.diputados.gob.ar/diputados/oaguad/,http://www4.hcdn.gob.ar/fotos/oaguad_medium.jpg
"AGUILAR, LINO WALTER",http://www.diputados.gob.ar/diputados/laguilar/,http://www4.hcdn.gob.ar/fotos/laguilar_medium.jpg
"ALBARRACIN, JORGE LUIS",http://www.diputados.gob.ar/diputados/jalbarracin/,http://www4.hcdn.gob.ar/fotos/jalbarracin_medium.jpg
"ALBRIEU, OSCAR EDMUNDO NICOLAS",http://www.diputados.gob.ar/diputados/oalbrieu/,http://www4.hcdn.gob.ar/fotos/oalbrieu_medium.jpg
"ALFONSIN, RICARDO LUIS",http://www.diputados.gob.ar/diputados/ralfonsin/,http://www4.hcdn.gob.ar/fotos/ralfonsin_medium.jpg
"ALONSO, GUMERSINDO FEDERICO",http://www.diputados.gob.ar/diputados/galonso/,http://www4.hcdn.gob.ar/fotos/galonso_medium.jpg
"ALONSO, LAURA",http://www.diputados.gob.ar/diputados/lalonso/,http://www4.hcdn.gob.ar/fotos/lalonso_medium.jpg
"ALONSO, MARIA LUZ",http://www.diputados.gob.ar/diputados/malonso/,http://www4.hcdn.gob.ar/fotos/malonso_medium.jpg
"ALVAREZ, ELSA MARIA",http://www.diputados.gob.ar/diputados/ealvarez/,http://www4.hcdn.gob.ar/fotos/ealvarez_medium.jpg
"ALVAREZ, JORGE MARIO",http://www.diputados.gob.ar/diputados/jmalvarez/,http://www4.hcdn.gob.ar/fotos/jmalvarez_medium.jpg
"AMADEO, EDUARDO PABLO",http://www.diputados.gob.ar/diputados/eamadeo/,http://www4.hcdn.gob.ar/fotos/eamadeo_medium.jpg
"ARENA, CELIA ISABEL",http://www.diputados.gob.ar/diputados/carena/,http://www4.hcdn.gob.ar/fotos/carena_medium.jpg
"ARGUMEDO, ALCIRA SUSANA",http://www.diputados.gob.ar/diputados/aargumedo/,http://www4.hcdn.gob.ar/fotos/aargumedo_medium.jpg
"ARREGUI, ANDRES ROBERTO",http://www.diputados.gob.ar/diputados/aarregui/,http://www4.hcdn.gob.ar/fotos/aarregui_medium.jpg
"ASPIAZU, LUCIO BERNARDO",http://www.diputados.gob.ar/diputados/laspiazu/,http://www4.hcdn.gob.ar/fotos/laspiazu_medium.jpg
"ASSEFF, ALBERTO EMILIO",http://www.diputados.gob.ar/diputados/aasseff/,http://www4.hcdn.gob.ar/fotos/aasseff_medium.jpg
"ATANASOF, ALFREDO NESTOR",http://www.diputados.gob.ar/diputados/aatanasof/,http://www4.hcdn.gob.ar/fotos/aatanasof_medium.jpg
"AVOSCAN, HERMAN HORACIO",http://www.diputados.gob.ar/diputados/havoscan/,http://www4.hcdn.gob.ar/fotos/havoscan_medium.jpg
"BALCEDO, MARIA ESTER",http://www.diputados.gob.ar/diputados/mbalcedo/,http://www4.hcdn.gob.ar/fotos/mbalcedo_medium.jpg
"BARBIERI, MARIO LEANDRO",http://www.diputados.gob.ar/diputados/mbarbieri/,http://www4.hcdn.gob.ar/fotos/mbarbieri_medium.jpg
"BARCHETTA, OMAR SEGUNDO",http://www.diputados.gob.ar/diputados/obarchetta/,http://www4.hcdn.gob.ar/fotos/obarchetta_medium.jpg
"BARRANDEGUY, RAUL ENRIQUE",http://www.diputados.gob.ar/diputados/rbarrandeguy/,http://www4.hcdn.gob.ar/fotos/rbarrandeguy_medium.jpg
"BASTERRA, LUIS EUGENIO",http://www.diputados.gob.ar/diputados/lbasterra/,http://www4.hcdn.gob.ar/fotos/lbasterra_medium.jpg
"BAZZE, MIGUEL ANGEL",http://www.diputados.gob.ar/diputados/mbazze/,http://www4.hcdn.gob.ar/fotos/mbazze_medium.jpg
"BEDANO, NORA ESTHER",http://www.diputados.gob.ar/diputados/nbedano/,http://www4.hcdn.gob.ar/fotos/nbedano_medium.jpg
"BENEDETTI, ATILIO FRANCISCO SALVADOR",http://www.diputados.gob.ar/diputados/abenedetti/,http://www4.hcdn.gob.ar/fotos/abenedetti_medium.jpg
"BERNAL, MARIA EUGENIA",http://www.diputados.gob.ar/diputados/mbernal/,http://www4.hcdn.gob.ar/fotos/mbernal_medium.jpg
"BERTOL, PAULA MARIA",http://www.diputados.gob.ar/diputados/pbertol/,http://www4.hcdn.gob.ar/fotos/pbertol_medium.jpg
"BERTONE, ROSANA ANDREA",http://www.diputados.gob.ar/diputados/rbertone/,http://www4.hcdn.gob.ar/fotos/rbertone_medium.jpg
"BIANCHI, IVANA MARIA",http://www.diputados.gob.ar/diputados/ibianchi/,http://www4.hcdn.gob.ar/fotos/ibianchi_medium.jpg
"BIANCHI, MARIA DEL CARMEN",http://www.diputados.gob.ar/diputados/mbianchi/,http://www4.hcdn.gob.ar/fotos/mbianchi_medium.jpg
"BIDEGAIN, GLORIA",http://www.diputados.gob.ar/diputados/gbidegain/,http://www4.hcdn.gob.ar/fotos/gbidegain_medium.jpg
"BIELLA CALVET, BERNARDO JOSE",http://www.diputados.gob.ar/diputados/bbiellac/,http://www4.hcdn.gob.ar/fotos/bbiellac_medium.jpg
"BLANCO DE PERALTA, BLANCA",http://www.diputados.gob.ar/diputados/bblanco/,http://www4.hcdn.gob.ar/fotos/bblanco_medium.jpg
"BRAWER, MARA",http://www.diputados.gob.ar/diputados/mbrawer/,http://www4.hcdn.gob.ar/fotos/mbrawer_medium.jpg
"BRILLO, JOSE RICARDO",http://www.diputados.gob.ar/diputados/jbrillo/,http://www4.hcdn.gob.ar/fotos/jbrillo_medium.jpg
"BRIZUELA Y DORIA DE CARA, OLGA INES",http://www.diputados.gob.ar/diputados/obrizueladc/,http://www4.hcdn.gob.ar/fotos/obrizueladc_medium.jpg
"BROMBERG, ISAAC BENJAMIN",http://www.diputados.gob.ar/diputados/ibromberg/,http://www4.hcdn.gob.ar/fotos/ibromberg_medium.jpg
"BROWN, CARLOS RAMON",http://www.diputados.gob.ar/diputados/cbrown/,http://www4.hcdn.gob.ar/fotos/cbrown_medium.jpg
"BRUE, DANIEL AGUSTIN",http://www.diputados.gob.ar/diputados/dbrue/,http://www4.hcdn.gob.ar/fotos/dbrue_medium.jpg
"BULLRICH, PATRICIA",http://www.diputados.gob.ar/diputados/pbullrich/,http://www4.hcdn.gob.ar/fotos/pbullrich_medium.jpg
"BURYAILE, RICARDO",http://www.diputados.gob.ar/diputados/rburyaile/,http://www4.hcdn.gob.ar/fotos/rburyaile_medium.jpg
"CALCAGNO Y MAILLMAN, ERIC",http://www.diputados.gob.ar/diputados/ecalcagno/,http://www4.hcdn.gob.ar/fotos/ecalcagno_medium.jpg
"CAMAÑO, GRACIELA",http://www.diputados.gob.ar/diputados/gcamano/,http://www4.hcdn.gob.ar/fotos/gcamano_medium.jpg
"CARDELLI, JORGE JUSTO",http://www.diputados.gob.ar/diputados/jcardelli/,http://www4.hcdn.gob.ar/fotos/jcardelli_medium.jpg
"CARLOTTO, REMO GERARDO",http://www.diputados.gob.ar/diputados/rcarlotto/,http://www4.hcdn.gob.ar/fotos/rcarlotto_medium.jpg
"CARMONA, GUILLERMO RAMON",http://www.diputados.gob.ar/diputados/gcarmona/,http://www4.hcdn.gob.ar/fotos/gcarmona_medium.jpg
"CARRANZA, CARLOS ALBERTO",http://www.diputados.gob.ar/diputados/ccarranza/,http://www4.hcdn.gob.ar/fotos/ccarranza_medium.jpg
"CARRILLO, MARIA DEL CARMEN",http://www.diputados.gob.ar/diputados/mcarrillo/,http://www4.hcdn.gob.ar/fotos/mcarrillo_medium.jpg
"CARRIO, ELISA MARIA AVELINA",http://www.diputados.gob.ar/diputados/ecarrio/,http://www4.hcdn.gob.ar/fotos/ecarrio_medium.jpg
"CASAÑAS, JUAN FRANCISCO",http://www.diputados.gob.ar/diputados/jcasanas/,http://www4.hcdn.gob.ar/fotos/jcasanas_medium.jpg
"CASELLES, GRACIELA MARIA",http://www.diputados.gob.ar/diputados/gcaselles/,http://www4.hcdn.gob.ar/fotos/gcaselles_medium.jpg
"CASTAÑON, HUGO",http://www.diputados.gob.ar/diputados/hcastanon/,http://www4.hcdn.gob.ar/fotos/hcastanon_medium.jpg
"CATALAN MAGNI, JULIO CESAR",http://www.diputados.gob.ar/diputados/jcatalanm/,http://www4.hcdn.gob.ar/fotos/jcatalanm_medium.jpg
"CEJAS, JORGE ALBERTO",http://www.diputados.gob.ar/diputados/jcejas/,http://www4.hcdn.gob.ar/fotos/jcejas_medium.jpg
"CHEMES, JORGE OMAR",http://www.diputados.gob.ar/diputados/jchemes/,http://www4.hcdn.gob.ar/fotos/jchemes_medium.jpg
"CHIENO, MARIA ELENA PETRONA",http://www.diputados.gob.ar/diputados/mchieno/,http://www4.hcdn.gob.ar/fotos/mchieno_medium.jpg
"CIAMPINI, JOSE ALBERTO",http://www.diputados.gob.ar/diputados/aciampini/,http://www4.hcdn.gob.ar/fotos/aciampini_medium.jpg
"CICILIANI, ALICIA MABEL",http://www.diputados.gob.ar/diputados/aciciliani/,http://www4.hcdn.gob.ar/fotos/aciciliani_medium.jpg
"CIGOGNA, LUIS FRANCISCO JORGE",http://www.diputados.gob.ar/diputados/lcigogna/,http://www4.hcdn.gob.ar/fotos/lcigogna_medium.jpg
"CLERI, MARCOS",http://www.diputados.gob.ar/diputados/mcleri/,http://www4.hcdn.gob.ar/fotos/mcleri_medium.jpg
"COMELLI, ALICIA MARCELA",http://www.diputados.gob.ar/diputados/acomelli/,http://www4.hcdn.gob.ar/fotos/acomelli_medium.jpg
"COMI, CARLOS MARCELO",http://www.diputados.gob.ar/diputados/ccomi/,http://www4.hcdn.gob.ar/fotos/ccomi_medium.jpg
"CONTI, DIANA BEATRIZ",http://www.diputados.gob.ar/diputados/dconti/,http://www4.hcdn.gob.ar/fotos/dconti_medium.jpg
"CONTRERA, MONICA GRACIELA",http://www.diputados.gob.ar/diputados/mcontrera/,http://www4.hcdn.gob.ar/fotos/mcontrera_medium.jpg
"CORDOBA, STELLA MARIS",http://www.diputados.gob.ar/diputados/scordoba/,http://www4.hcdn.gob.ar/fotos/scordoba_medium.jpg
"CORTINA, ROY",http://www.diputados.gob.ar/diputados/rcortina/,http://www4.hcdn.gob.ar/fotos/rcortina_medium.jpg
"COSTA, EDUARDO RAUL",http://www.diputados.gob.ar/diputados/ecosta/,http://www4.hcdn.gob.ar/fotos/ecosta_medium.jpg
"CREMER DE BUSTI, MARIA CRISTINA",http://www.diputados.gob.ar/diputados/mcremer/,http://www4.hcdn.gob.ar/fotos/mcremer_medium.jpg
"CUCCOVILLO, RICARDO OSCAR",http://www.diputados.gob.ar/diputados/rcuccovillo/,http://www4.hcdn.gob.ar/fotos/rcuccovillo_medium.jpg
"CURRILEN, OSCAR RUBEN",http://www.diputados.gob.ar/diputados/ocurrilen/,http://www4.hcdn.gob.ar/fotos/ocurrilen_medium.jpg
"DATO, ALFREDO CARLOS",http://www.diputados.gob.ar/diputados/adato/,http://www4.hcdn.gob.ar/fotos/adato_medium.jpg
"DE FERRARI RUEDA, PATRICIA",http://www.diputados.gob.ar/diputados/pdeferrarir/,http://www4.hcdn.gob.ar/fotos/pdeferrarir_medium.jpg
"DE GENNARO, VICTOR NORBERTO",http://www.diputados.gob.ar/diputados/vdegennaro/,http://www4.hcdn.gob.ar/fotos/vdegennaro_medium.jpg
"DE MARCHI, OMAR BRUNO",http://www.diputados.gob.ar/diputados/odemarchi/,http://www4.hcdn.gob.ar/fotos/odemarchi_medium.jpg
"DE NARVAEZ, FRANCISCO",http://www.diputados.gob.ar/diputados/fdenarvaez/,http://www4.hcdn.gob.ar/fotos/fdenarvaez_medium.jpg
"DE PEDRO, EDUARDO ENRIQUE",http://www.diputados.gob.ar/diputados/edepedro/,http://www4.hcdn.gob.ar/fotos/edepedro_medium.jpg
"DE PRAT GAY, ALFONSO",http://www.diputados.gob.ar/diputados/apratgay/,http://www4.hcdn.gob.ar/fotos/apratgay_medium.jpg
"DEPETRI, EDGARDO FERNANDO",http://www.diputados.gob.ar/diputados/edepetri/,http://www4.hcdn.gob.ar/fotos/edepetri_medium.jpg
"DI TULLIO, JULIANA",http://www.diputados.gob.ar/diputados/jditullio/,http://www4.hcdn.gob.ar/fotos/jditullio_medium.jpg
"DIAZ BANCALARI, JOSE MARIA",http://www.diputados.gob.ar/diputados/jdiaz/,http://www4.hcdn.gob.ar/fotos/jdiaz_medium.jpg
"DIAZ ROIG, JUAN CARLOS",http://www.diputados.gob.ar/diputados/jdiazr/,http://www4.hcdn.gob.ar/fotos/jdiazr_medium.jpg
"DOMINGUEZ, JULIAN ANDRES",http://www.diputados.gob.ar/diputados/jdominguez/,http://www4.hcdn.gob.ar/fotos/jdominguez_medium.jpg
"DONDA PEREZ, VICTORIA ANALIA",http://www.diputados.gob.ar/diputados/vdondap/,http://www4.hcdn.gob.ar/fotos/vdondap_medium.jpg
"DONKIN, CARLOS GUILLERMO",http://www.diputados.gob.ar/diputados/cdonkin/,http://www4.hcdn.gob.ar/fotos/cdonkin_medium.jpg
"DUCLOS, OMAR ARNALDO",http://www.diputados.gob.ar/diputados/oduclos/,http://www4.hcdn.gob.ar/fotos/oduclos_medium.jpg
"ELORRIAGA, OSVALDO ENRIQUE",http://www.diputados.gob.ar/diputados/oelorriaga/,http://www4.hcdn.gob.ar/fotos/oelorriaga_medium.jpg
"ESPINDOLA, GLADYS SUSANA",http://www.diputados.gob.ar/diputados/gespindola/,http://www4.hcdn.gob.ar/fotos/gespindola_medium.jpg
"FADUL, LILIANA",http://www.diputados.gob.ar/diputados/lfadul/,http://www4.hcdn.gob.ar/fotos/lfadul_medium.jpg
"FAUSTINELLI, HIPOLITO",http://www.diputados.gob.ar/diputados/hfaustinelli/,http://www4.hcdn.gob.ar/fotos/hfaustinelli_medium.jpg
"FAVARIO, CARLOS ALBERTO",http://www.diputados.gob.ar/diputados/cfavario/,http://www4.hcdn.gob.ar/fotos/cfavario_medium.jpg
"FELETTI, ROBERTO JOSE",http://www.diputados.gob.ar/diputados/rfeletti/,http://www4.hcdn.gob.ar/fotos/rfeletti_medium.jpg
"FELIX, OMAR CHAFI",http://www.diputados.gob.ar/diputados/ofelix/,http://www4.hcdn.gob.ar/fotos/ofelix_medium.jpg
"FERNANDEZ, RODOLFO ALFREDO",http://www.diputados.gob.ar/diputados/rfernandez/,http://www4.hcdn.gob.ar/fotos/rfernandez_medium.jpg
"FERNANDEZ SAGASTI, ANABEL",http://www.diputados.gob.ar/diputados/afernandezs/,http://www4.hcdn.gob.ar/fotos/afernandezs_medium.jpg
"FERRA DE BARTOL, MARGARITA",http://www.diputados.gob.ar/diputados/mferra/,http://www4.hcdn.gob.ar/fotos/mferra_medium.jpg
"FERRARI, GUSTAVO ALFREDO HORACIO",http://www.diputados.gob.ar/diputados/gferrari/,http://www4.hcdn.gob.ar/fotos/gferrari_medium.jpg
"FERREYRA, ARACELI",http://www.diputados.gob.ar/diputados/aferreyra/,http://www4.hcdn.gob.ar/fotos/aferreyra_medium.jpg
"FIAD, MARIO RAYMUNDO",http://www.diputados.gob.ar/diputados/mfiad/,http://www4.hcdn.gob.ar/fotos/mfiad_medium.jpg
"FIORE VIÑUALES, MARIA CRISTINA DEL VALLE",http://www.diputados.gob.ar/diputados/mfiorev/,http://www4.hcdn.gob.ar/fotos/mfiorev_medium.jpg
"FORCONI, JUAN CARLOS",http://www.diputados.gob.ar/diputados/jforconi/,http://www4.hcdn.gob.ar/fotos/jforconi_medium.jpg
"FORTE, ULISES UMBERTO JOSE",http://www.diputados.gob.ar/diputados/uforte/,http://www4.hcdn.gob.ar/fotos/uforte_medium.jpg
"FORTUNA, FRANCISCO JOSE",http://www.diputados.gob.ar/diputados/ffortuna/,http://www4.hcdn.gob.ar/fotos/ffortuna_medium.jpg
"FRANCIONI, FABIAN MARCELO",http://www.diputados.gob.ar/diputados/ffrancioni/,http://www4.hcdn.gob.ar/fotos/ffrancioni_medium.jpg
"GALLARDO, MIRIAM GRACIELA",http://www.diputados.gob.ar/diputados/mgallardo/,http://www4.hcdn.gob.ar/fotos/mgallardo_medium.jpg
"GAMBARO, NATALIA",http://www.diputados.gob.ar/diputados/ngambaro/,http://www4.hcdn.gob.ar/fotos/ngambaro_medium.jpg
"GARCIA, ANDREA FABIANA",http://www.diputados.gob.ar/diputados/agarcia/,http://www4.hcdn.gob.ar/fotos/agarcia_medium.jpg
"GARCIA, MARIA TERESA",http://www.diputados.gob.ar/diputados/mgarcia/,http://www4.hcdn.gob.ar/fotos/mgarcia_medium.jpg
"GARCIA LARRABURU, SILVINA MARCELA",http://www.diputados.gob.ar/diputados/sgarcial/,http://www4.hcdn.gob.ar/fotos/sgarcial_medium.jpg
"GARNERO, ESTELA RAMONA",http://www.diputados.gob.ar/diputados/egarnero/,http://www4.hcdn.gob.ar/fotos/egarnero_medium.jpg
"GARRAMUÑO, JORGE ALBERTO",http://www.diputados.gob.ar/diputados/jgarramuno/,http://www4.hcdn.gob.ar/fotos/jgarramuno_medium.jpg
"GARRIDO, MANUEL",http://www.diputados.gob.ar/diputados/mgarrido/,http://www4.hcdn.gob.ar/fotos/mgarrido_medium.jpg
"GDANSKY, CARLOS ENRIQUE",http://www.diputados.gob.ar/diputados/cgdansky/,http://www4.hcdn.gob.ar/fotos/cgdansky_medium.jpg
"GERMANO, DANIEL",http://www.diputados.gob.ar/diputados/dgermano/,http://www4.hcdn.gob.ar/fotos/dgermano_medium.jpg
"GIACCONE, CLAUDIA ALEJANDRA",http://www.diputados.gob.ar/diputados/cgiaccone/,http://www4.hcdn.gob.ar/fotos/cgiaccone_medium.jpg
"GIACOMINO, DANIEL OSCAR",http://www.diputados.gob.ar/diputados/dgiacomino/,http://www4.hcdn.gob.ar/fotos/dgiacomino_medium.jpg
"GIANNETTASIO, GRACIELA MARIA",http://www.diputados.gob.ar/diputados/ggiannettasio/,http://www4.hcdn.gob.ar/fotos/ggiannettasio_medium.jpg
"GIL LAVEDRA, RICARDO RODOLFO",http://www.diputados.gob.ar/diputados/rgill/,http://www4.hcdn.gob.ar/fotos/rgill_medium.jpg
"GIUBERGIA, MIGUEL ANGEL",http://www.diputados.gob.ar/diputados/mgiubergia/,http://www4.hcdn.gob.ar/fotos/mgiubergia_medium.jpg
"GONZALEZ, GLADYS ESTHER",http://www.diputados.gob.ar/diputados/ggonzalez/,http://www4.hcdn.gob.ar/fotos/ggonzalez_medium.jpg
"GONZALEZ, NANCY SUSANA",http://www.diputados.gob.ar/diputados/ngonzalez/,http://www4.hcdn.gob.ar/fotos/ngonzalez_medium.jpg
"GONZALEZ, JUAN DANTE",http://www.diputados.gob.ar/diputados/jgonzalez/,http://www4.hcdn.gob.ar/fotos/jgonzalez_medium.jpg
"GRANADOS, DULCE",http://www.diputados.gob.ar/diputados/dgranados/,http://www4.hcdn.gob.ar/fotos/dgranados_medium.jpg
"GROSSO, LEONARDO",http://www.diputados.gob.ar/diputados/lgrosso/,http://www4.hcdn.gob.ar/fotos/lgrosso_medium.jpg
"GUCCIONE, JOSE DANIEL",http://www.diputados.gob.ar/diputados/jguccione/,http://www4.hcdn.gob.ar/fotos/jguccione_medium.jpg
