diputadoId,nombre,distrito
1,"ABRAMETO, Jacobo Alberto",Río Negro
2,"AGUILAR, Eduardo Alberto",Chaco
3,"AGUIRRE, Hilda Clelia",La Rioja
4,"AGUNDEZ, Jorge Alfredo",San Luis
5,"ARANCIO DE BELLER, Mónica",Jujuy
6,"ARTAZA, Eugenio Justiniano",Corrientes
7,"AVELÍN, Nancy Barbarita",San Juan
8,"BANICEVICH, Jorge Esteban",Santa Cruz
9,"BAR, Graciela Yolanda",Entre Ríos
10,"BARRIONUEVO, Walter Basilio",Jujuy
11,"BASUALDO, Roberto Gustavo",San Juan
12,"BERMEJO, Rolando Adolfo",Mendoza
13,"BERTONE, Rosana Andrea",Tierra del Fuego
14,"BIANCALANI, Fabio Darío",Chaco
15,"BLAS, Inés Imelda",Catamarca
16,"BONGIORNO, María José",Río Negro
17,"BORELLO, Marta Teresita",Córdoba
18,"BORTOLOZZI, Adriana Raquel",Formosa
19,"BUSSI, Ricardo Argentino",Tucumán
20,"CABANCHIK, Samuel Manuel",Cdad.Aut.Bs.As.
21,"CABRAL, Salvador",Misiones
22,"CAFIERO, Antonio Francisco",Buenos Aires
23,"CALCAGNO Y MAILLMAN, Eric",Buenos Aires
24,"CANO, José Manuel",Tucumán
25,"CAPARROS, Mabel Luisa",Tierra del Fuego
26,"CAPITANICH, Jorge Milton",Chaco
27,"CAPOS, Liliana Delia",Tierra del Fuego
28,"CASTILLO, Oscar Aníbal",Catamarca
29,"CASTRO, María Elisa",Santiago del Estero
30,"CATALAN MAGNI, Julio Cesar",Tierra del Fuego
31,"CIMADEVILLA, Mario Jorge",Chubut
32,"CLOSS, Maurice Fabián",Misiones
33,"COLAZO, Mario Jorge",Tierra del Fuego
34,"COLOMBO DE ACEVEDO, María Teresa",Catamarca
35,"CONTI, Diana Beatriz",Buenos Aires
36,"CORPACCI de MERCADO, Lucia B .",Catamarca
37,"CORRADI DE BELTRÀN, Ana María",Santiago del Estero
38,"CORREGIDO, Elena Mercedes",Chaco
39,"CREXELL, Carmen Lucila",Neuquén
40,"CURLETTI, Miriam Belén",Chaco
41,"DANIELE, Mario Domingo",Tierra del Fuego
42,"DE ANGELI, Alfredo Luis",Entre Ríos
43,"DE LA ROSA, María Graciela",Formosa
44,"DI PERNA, Graciela Agustina",Chubut
45,"DIAZ, María Rosa",Tierra del Fuego
46,"ELIAS DE PEREZ, Silvia Beatriz",Tucumán
47,"ESCUDERO, Sonia Margarita",Salta
48,"ESTENSSORO, María Eugenia",Cdad.Aut.Bs.As.
49,"FALCO, Luis Alberto",Río Negro
50,"FELLNER, Liliana Beatriz",Jujuy
51,"FERNANDEZ DE KIRCHNER, Cristina",Buenos Aires
52,"FERNANDEZ DE KIRCHNER, Cristina",Santa Cruz
53,"FERNANDEZ, Aníbal Domingo",Buenos Aires
54,"FERNANDEZ, Nicolás Alejandro",Santa Cruz
55,"FILMUS, Daniel Fernando",Cdad.Aut.Bs.As.
56,"FIORE VINUALES, Maria Cristina del Valle",Salta
57,"FORSTMANN, Selva Judit",Santa Cruz
58,"FUENTES, Marcelo Jorge",Neuquén
59,"GALLEGO, Silvia Ester",La Pampa
60,"GALLIA, Sergio Adrián",Neuquén
61,"GARCIA LARRABURU, Silvia Marcela",Río Negro
62,"GARRAMUÑO, Jorge Alberto",Tierra del Fuego
63,"GIMENEZ, Sandra Daniela",Misiones
64,"GIOJA, César Ambrosio",San Juan
65,"GIRI, Haidé Delia",Córdoba
66,"GIUSTI, Silvia Ester",Chubut
67,"GIUSTINIANI, Rubén Héctor",Santa Fe
68,"GODOY, Ruperto Eduardo",San Juan
69,"GOMEZ DIEZ, Ricardo",Salta
70,"GONZALEZ DE DUHALDE, Hilda Beatriz",Buenos Aires
71,"GONZALEZ, Pablo Gerardo",Santa Cruz
72,"GUASTAVINO, Pedro Guillermo Ángel",Entre Ríos
73,"GUINLE, Marcelo Alejandro",Chubut
74,"HIGONET, María de los Angeles",La Pampa
75,"IBARRA, Vilma Lidia",Cdad.Aut.Bs.As.
76,"IRRAZABAL, Juan Manuel",Misiones
77,"ISIDORI, Amanda Mercedes",Río Negro
78,"ITURREZ de CAPELLINI, Ada Rosa",Santiago del Estero
79,"JAQUE, Celso Alejandro",Mendoza
80,"JENEFES, Guillermo Raúl",Jujuy
81,"JUEZ, Luís Alfredo",Córdoba
82,"KIRCHNER, Alicia Margarita Antonia",Santa Cruz
83,"KUNATH, Sigrid Elisabeth",Entre Ríos
84,"LABADO, María Ester",Santa Cruz
85,"LATORRE, Roxana Itatí",Santa Fe
86,Legislador a Designar,Ver
87,Legislador a Designar,Ver
88,"LEGUIZAMÓN, María Laura",Buenos Aires
89,"LEGUIZAMÓN, María Laura",Cdad.Aut.Bs.As.
90,"LESCANO, Marcela Fabiana",Formosa
91,"LINARES, Jaime",Buenos Aires
92,"LÓPEZ ARIAS, Marcelo Eduardo",Salta
93,"LÓPEZ, Osvaldo Ramón",Tierra del Fuego
94,"LORES, Horacio",Neuquén
95,"LOSADA, Mario Aníbal",Misiones
96,"LUNA, Mirtha María Teresita",La Rioja
97,"MANSILLA, Sergio Francisco",Tucumán
98,"MARIN, Rubén Hugo",La Pampa
99,"MARINO, Juan Carlos",La Pampa
100,"MARTIN, Floriana Nélida",San Juan
101,"MARTINAZZO, Luis Eduardo",San Juan
102,"MARTÍNEZ PASS de CRESTO, Laura",Entre Ríos
103,"MARTINEZ, Alfredo Anselmo",Santa Cruz
104,"MARTINEZ, José Carlos",Tierra del Fuego
105,"MASSONI, Norberto",Chubut
106,"MASTANDREA, Alicia Ester",Chaco
107,"MAYANS, José Miguel Ángel",Formosa
108,"MAZA, Ada Mercedes",La Rioja
109,"MEABE de MATHO, Josefina Angélica",Corrientes
110,"MENEM, Carlos Saúl",La Rioja
111,"MENEM, Eduardo",La Rioja
112,"MERA, Mario Rubén",Santiago del Estero
113,"MESTRE, Ramón Javier",Córdoba
114,"MICHETTI, Marta Gabriela",Cdad.Aut.Bs.As.
115,"MIRANDA, Julio Antonio",Tucumán
116,"MONLLAU, Blanca María del Valle",Catamarca
117,"MONTENEGRO, Gerardo Antenor",Santiago del Estero
118,"MONTERO, Laura Gisela",Mendoza
119,"MORALES, Gerardo Rubén",Jujuy
120,"MORANDINI, Norma Elena",Córdoba
121,"MULLER, Mabel Hilda",Buenos Aires
122,"NEGRE DE ALONSO, Liliana Teresita",San Luis
123,"NIKISCH, Roy Abelardo",Chaco
124,"OCHOA, Raúl Ernesto",San Luis
126,"OSUNA, Blanca Inés",Entre Ríos
127,"OVIEDO, Mercedes Margarita",Misiones
128,"PAMPURO, José Juan Bautista",Buenos Aires
129,"PARRILLI, Nanci María Agustina",Neuquén
130,"PAZ, Elva Azucena",Formosa
131,"PERCEVAL, María Cristina",Mendoza
132,"PEREYRA, Guillermo Juan",Neuquén
133,"PEREZ ALSINA, Juan Agustín",Salta
134,"PERSICO, Daniel Raúl",San Luis
135,"PETCOFF NAIDENOFF, Luis Carlos",Formosa
136,"PICHETTO, Miguel Ángel",Río Negro
137,"PILATTI VERGARA, Maria Ines Patricia",Chaco
138,"PINCHETTI de SIERRA MORALES, Delia Norma",Tucumán
139,"PRADES, Carlos Alfonso",Santa Cruz
140,"PUERTA, Federico Ramón",Misiones
141,"QUINTELA, Teresita Nicolasa",La Rioja
142,"RACHED, Emilio Alberto",Santiago del Estero
143,"REUTEMANN, Carlos Alberto",Santa Fe
144,"RIOFRIO, Marina Raquel",San Juan
145,"RÍOS, Roberto Fabián",Corrientes
146,"RODRIGUEZ SAA, Adolfo",San Luis
147,"ROJKES de ALPEROVICH, Beatriz L .",Tucumán
148,"ROLDAN, José María",Corrientes
149,"ROMERO, Juan Carlos",Salta
150,"ROSSI, Carlos Alberto",Córdoba
151,"ROZAS, Angel",Chaco
152,"RUIZ DIAZ, Elsa Beatriz",Entre Ríos
153,"SAADI, Ramón Eduardo",Catamarca
154,"SALAZAR, Carlos Eduardo",Tucumán
155,"SALVATORI, Pedro",Neuquén
156,"SANCHEZ, María Dora",Corrientes
157,"SANTILLI, Diego César",Cdad.Aut.Bs.As.
158,"SANZ, Ernesto Ricardo",Mendoza
159,"SAPAG, Luz María",Neuquén
160,"SOLANAS, Fernando Ezequiel",Cdad.Aut.Bs.As.
161,"SOSA, Maria Noemi",Río Negro
162,"TAFFAREL, Ricardo Cesar",Entre Ríos
163,"TERRAGNO, Rodolfo",Cdad.Aut.Bs.As.
164,"TORRES, Eduardo Enrique",Misiones
165,"TROADELLO, Mónica",Mendoza
166,"URQUIA, Roberto Daniel",Córdoba
167,"URTUBEY, Rodolfo Julio",Salta
168,"VERA, Arturo",Entre Ríos
169,"VERANI, Pablo",Río Negro
170,"VERNA, Carlos Alberto",La Pampa
171,"VIANA, Luis Alberto",Misiones
172,"VIGO, Elida María",Misiones
173,"VIUDES, Isabel Josefa",Corrientes
174,"YOMA, Jorge Raúl",La Rioja
175,"ZAMORA, Gerardo",Santiago del Estero
176,"ZAVALIA, José Luis",Santiago del Estero
125,"ODARDA, María Magdalena",Río Negro
177,"ABAL MEDINA, Juan Manuel",Buenos Aires
178,"BOYADJIAN, Miriam Ruth",Tierra del Fuego
179,"BRAILLARD POCCARD, Néstor",Corrientes
180,"MARTÍNEZ, Ernesto Félix",Córdoba
181,"PINEDO, Federico",Cdad.Aut.Bs.As.
182,"RODRÍGUEZ MACHADO, Laura Elena",Córdoba
183,"VARELA, Marta",Cdad.Aut.Bs.As.
184,"COBOS, Julio César Cleto",Mendoza
185,"GIACOPPO, Silvia del Rosario",Jujuy
186,"VERASAY, Pamela Fernanda",Mendoza
187,"ALPEROVICH, José",Tucumán
188,"ESPINOLA, Carlos Mauricio",Corrientes
189,"MIRKIN, Beatriz Graciela",Tucumán
190,"OJEDA, José Anatolio",Tierra del Fuego
191,"PEROTTI, Omar Ángel",Santa Fe
192,"DURANGO, Norma Haydée",La Pampa
193,"LOVERA, Daniel Aníbal",La Pampa
194,"CASERIO, Carlos Alberto",Córdoba
195,"ALMIRON, Ana Claudia",Corrientes
196,"FERNÁNDEZ SAGASTI, Anabel",Mendoza
197,"GARCÍA, Virginia María",Santa Cruz
198,"GONZÁLEZ, Nancy Susana",Chubut
199,"SACNUN, María de los Ángeles",Santa Fe
200,"LUENZO, Alfredo Héctor",Chubut
201,"PAIS, Juan Mario",Chubut
202,"MERA, Dalmacio Enrique",Catamarca
203,Legislador a Designar,Formosa
204,"GONZALEZ, María Teresa Margarita",Formosa
